消息ID,消息名称,消息长度,周期时间(ms),发送者,消息备注(JSON),信号名称,起始位,长度(bit),字节序,有符号,初值,缩放系数,偏移,最小值,最大值,单位,接收者,备注(JSON)
0xCFF0105,TM_MCU_STATUS_2,8,50,MCU,"{""description"":""电机控制器状态反馈2""}",Torque_Limit_High,16,16,little_endian,否,0,1,0,0,5000,Nm,HCU,"{""description"":""转矩上限""}"
0xCFF0105,TM_MCU_STATUS_2,8,50,MCU,"{""description"":""电机控制器状态反馈2""}",Torque_Limit_Low,32,16,little_endian,是,0,1,-5000,-5000,0,Nm,HCU,"{""description"":""转矩下限""}"
0xCFF0105,TM_MCU_STATUS_2,8,50,MCU,"{""description"":""电机控制器状态反馈2""}",Fail_Grade,48,4,little_endian,否,0,1,0,0,3,,"HCU","{"0":"No_Fault","1":"Warning_degraded","2":"Fault_zero_torque","3":"Fault_shutdown"}"
0xCFF0105,TM_MCU_STATUS_2,8,50,MCU,"{""description"":""电机控制器状态反馈2""}",Life_Counter,60,4,little_endian,否,0,1,0,0,15,,"HCU","{"description":"循环计数器"}"
0xCFF0205,TM_MCU_STATUS_3,8,100,MCU,"{""description"":""电机控制器状态反馈3""}",Fault_Code,0,8,little_endian,否,0,1,0,0,255,,"HCU","{"description":"错误故障码"}"
0xCFF0205,TM_MCU_STATUS_3,8,100,MCU,"{""description"":""电机控制器状态反馈3""}",Alarm_Code,8,8,little_endian,否,0,1,0,0,255,,"HCU","{"description":"告警故障码"}"
0xCFF0205,TM_MCU_STATUS_3,8,100,MCU,"{""description"":""电机控制器状态反馈3""}",DC_Current,16,16,little_endian,是,0,1,-1000,-1000,1000,A,HCU,"{""description"":""直流电流(估计值,驱动为负,发电为正)""}"
0xCFF0205,TM_MCU_STATUS_3,8,100,MCU,"{""description"":""电机控制器状态反馈3""}",DC_Voltage,32,16,little_endian,否,0,0.1,0,0,1000,V,HCU,"{""description"":""直流电压""}"
0xCFF0205,TM_MCU_STATUS_3,8,100,MCU,"{""description"":""电机控制器状态反馈3""}",Life_Counter,48,4,little_endian,否,0,1,0,0,15,,"HCU","{"description":"循环计数器"}"
0xCFF0205,TM_MCU_STATUS_3,8,100,MCU,"{""description"":""电机控制器状态反馈3""}",Reserved,52,12,little_endian,否,0,1,0,0,15,,"HCU","{"description":"预留字段"}"
0xCFF06EF,ISG_HCU_Command,8,10,HCU,"{""description"":""整车命令到ISG电机控制器""}",MCU_Enable,0,1,little_endian,否,0,1,0,0,1,,"ISG_MCU","{"0":"disable","1":"enable"}"
0xCFF06EF,ISG_HCU_Command,8,10,HCU,"{""description"":""整车命令到ISG电机控制器""}",Fault_Reset,1,1,little_endian,否,0,1,0,0,1,,"ISG_MCU","{"0":"disable","1":"enable"}"
0xCFF06EF,ISG_HCU_Command,8,10,HCU,"{""description"":""整车命令到ISG电机控制器""}",Control_Mode,2,2,little_endian,否,0,1,0,0,3,,"ISG_MCU","{"0":"Neutral","1":"Speed_Control","2":"Torque_Control","3":"Active_Discharge"}"
0xCFF06EF,ISG_HCU_Command,8,10,HCU,"{""description"":""整车命令到ISG电机控制器""}",Gear,4,2,little_endian,否,0,1,0,0,2,,"ISG_MCU","{"0":"Neutral","1":"Drive","2":"Reverse"}"
